"text","mentions","in_reply_to","created_at","url"
"Soon after, the Svoboda Rossii Legion (Freedom to Russia) shared additional pages of his ID documents, along with a couple of drone shots showing a body lying in the grass, claiming it was Stesyev.

(Join together the t dot me for the link)

https://t [.] me/legionoffreedom/863","","A bit of a wild story yesterday out of Belgorod. 

The RDK claimed to have killed a pretty senior Russian officer during their operation in Belgorod (Novaya Tavolzhanka), and shared his ID card. His name is Andrei Stesyev.

https://t.co/ONExrzT4hu https://t.co/VxvReBGNJR","2023-06-06T17:35:04.000Z","https://twitter.com/AricToler/status/1666136636399267871"
"A bit of a wild story yesterday out of Belgorod. 

The RDK claimed to have killed a pretty senior Russian officer during their operation in Belgorod (Novaya Tavolzhanka), and shared his ID card. His name is Andrei Stesyev.

https://t.co/ONExrzT4hu https://t.co/VxvReBGNJR","","","2023-06-06T17:32:37.000Z","https://twitter.com/AricToler/status/1666136020453142528"
"Interested to see if any information is released on the explosive device used here (assuming one was used, which is looking more likely)
https://t.co/mP1sVeSai2","","Geoff with the most detailed thread I've seen so far on the dam: https://t.co/MTnp1CByXP","2023-06-06T17:16:07.000Z","https://twitter.com/AricToler/status/1666131867739779072"
"Our handlers have strong interests in Scandinavia, and we'll make sure they're achieved","@nkulw ","@AricToler Typical anti-Norwegian Bellingcat bias","2023-06-06T16:44:42.000Z","https://twitter.com/AricToler/status/1666123961275392001"
"The German intel reports have pointed to Ukrainians renting a German boat, and plenty of satellite images show that all of the Norwegian vessels identified by Hersh didn't move in the key timespan. No Norwegians in sight. Danes or Poles would be more likely to help, if anyone.","@nkulw ","@AricToler Presumably that’s filed under said “assistance”","2023-06-06T16:41:30.000Z","https://twitter.com/AricToler/status/1666123158582075392"
"And remove half the investigation where he went into great detail about the exact Norwegian vessels that were used","@nkulw ","So the Hersh story except switch out ‘US divers with Norwegian assistance’ for the ‘Ukrainian military’ https://t.co/ZpibiQ60AK","2023-06-06T16:37:57.000Z","https://twitter.com/AricToler/status/1666122262280384538"
"Even Russian Z-milbloggers are dunking all over the Russian MoD for claiming to have their first confirmed kill of a Leopard tank 
(It was actually a tractor) https://t.co/XudOHTXvp3","","","2023-06-06T16:36:39.000Z","https://twitter.com/AricToler/status/1666121938916212737"
"RT @johncarlbaker: Hilarious that information about the Nord Stream attack is trickling out but in a way that shows Hersh was still extreme…","","","2023-06-06T15:17:20.000Z","https://twitter.com/AricToler/status/1666101978336821248"
"No one serious thinks that Ukraine blew it up, the question is if the dam burst from an intentional detonation from the Russians, or from extreme/malicious Russian neglect.","@Justweeterin ","@AricToler There is very little advantage for Ukraine to blow it up, while Russia has dozens of reasons. Occams Razor. We don't need to over- think this. 

(And of course get evidence and confirm allegations)","2023-06-06T14:19:51.000Z","https://twitter.com/AricToler/status/1666087510999707662"
"How is this bad about Ukraine?","@ED_CKTH ","@AricToler I see some people blocking you and I was wondering now for months why all your tweets are saying something bad about Ukraine? Started with the gas pipe where you were pushing tones of messages that Ukrainians did it and every message I check has a bad message about Ukraine, why?","2023-06-06T14:18:08.000Z","https://twitter.com/AricToler/status/1666087076176228353"
